sensor_id,timestamp,temperature_C,humidity_%,sea_temperature_C,sea_temp_band
M1,2003-04-26T16:00:00Z,11.2,87.0,11.1,cold
M3,2011-11-11T08:00:00Z,13.9,83.0,13.1,mild
M1,2006-07-07T18:00:00Z,14.7,74.0,15.0,warm
M2,2016-02-24T10:00:00Z,5.56,79.3,9.16,cold
M2,2007-07-10T05:00:00Z,13.5,92.0,13.7,mild
M3,2012-11-01T15:00:00Z,9.6,64.5,11.79,mild
M3,2012-09-21T16:00:00Z,13.63,89.1,15.28,warm
M6,2012-04-24T17:00:00Z,9.9,76.0,10.8,cold
M6,2009-10-20T16:00:00Z,12.7,86.0,14.6,warm
M1,2003-05-23T12:00:00Z,11.1,85.0,11.3,mild
M6,2013-07-30T00:00:00Z,14.2,82.0,17.0,warm
M1,2004-09-04T09:00:00Z,15.9,93.0,15.8,warm
M4-Archive,2003-05-02T19:00:00Z,9.8,71.0,10.5,cold
M4-Archive,2006-10-18T16:00:00Z,14.8,89.0,14.4,warm
M3,2005-06-19T20:00:00Z,14.9,92.0,14.6,warm
M1,2004-10-31T11:00:00Z,11.5,71.0,12.4,mild
M2,2015-07-20T15:00:00Z,14.21,92.2,11.45,mild
M5,2011-12-10T02:00:00Z,7.5,68.0,11.5,mild
M2,2015-10-08T20:00:00Z,14.21,86.3,14.39,warm
M2,2011-12-15T04:00:00Z,5.73,84.2,11.4,mild
M6,2008-09-11T10:00:00Z,13.2,82.0,14.8,warm
M3,2003-04-25T11:00:00Z,11.6,79.0,11.4,mild
M2,2003-08-01T03:00:00Z,14.6,90.0,13.0,mild
M2,2015-08-29T16:00:00Z,14.69,91.0,13.74,mild
M2,2012-11-17T08:00:00Z,8.43,76.6,12.89,mild
M1,2004-05-03T09:00:00Z,9.8,75.0,10.8,cold
M5,2012-06-16T09:00:00Z,12.64,92.8,12.28,mild
M2,2007-07-05T19:00:00Z,14.9,94.0,13.8,mild
M5,2006-06-15T18:00:00Z,15.6,70.0,15.8,warm
M6,2012-06-10T05:00:00Z,12.3,95.0,13.0,mild
M3,2007-06-21T05:00:00Z,14.6,94.0,15.0,warm
M6,2016-04-18T04:00:00Z,8.4,82.0,10.4,cold
M4,2009-12-07T09:00:00Z,9.5,56.0,11.1,cold
M3,2003-09-27T05:00:00Z,15.0,72.0,16.4,warm
M4,2009-10-30T18:00:00Z,14.3,91.0,13.1,mild
M4,2008-01-12T20:00:00Z,9.0,94.0,10.7,cold
M4-Archive,2005-09-12T19:00:00Z,16.1,85.0,15.4,warm
M2,2005-06-28T16:00:00Z,12.9,92.0,11.4,mild
M5,2013-05-08T22:00:00Z,10.04,74.2,10.02,cold
M6,2013-06-02T14:00:00Z,12.6,93.0,11.9,mild
M6,2009-11-21T09:00:00Z,11.5,77.0,12.7,mild
M1,2005-12-26T15:00:00Z,6.8,72.0,10.8,cold
M5,2010-11-06T01:00:00Z,12.1,86.0,13.3,mild
M1,2001-12-28T06:00:00Z,8.6,69.0,11.1,cold
M6,2009-10-30T04:00:00Z,15.2,89.0,14.4,warm
M1,2001-12-26T11:00:00Z,8.5,73.0,11.1,cold
M2,2016-03-31T15:00:00Z,8.26,85.5,8.85,cold
M2,2017-06-26T07:00:00Z,12.67,75.4,12.51,mild
M3,2017-05-29T22:00:00Z,13.59,93.0,13.91,warm
M3,2009-05-11T15:00:00Z,11.0,79.0,10.9,cold
M3,2004-04-27T03:00:00Z,10.7,83.0,11.3,mild
M3,2004-03-14T14:00:00Z,10.5,87.0,10.9,cold
M3,2009-12-01T08:00:00Z,10.8,97.0,11.4,mild
M3,2007-06-09T15:00:00Z,15.1,92.0,14.5,warm
M5,2017-04-09T00:00:00Z,10.65,92.6,10.32,cold
M6,2011-01-21T00:00:00Z,11.0,61.0,11.3,mild
M3,2004-05-11T19:00:00Z,10.7,92.0,11.0,cold
M2,2012-02-14T12:00:00Z,8.06,81.2,8.68,cold
M2,2005-02-16T16:00:00Z,7.3,79.0,8.8,cold
M2,2008-01-30T23:00:00Z,8.5,80.0,9.8,cold
M1,2006-07-01T22:00:00Z,14.0,91.0,14.3,warm
M5,2009-01-25T00:00:00Z,9.3,87.0,8.7,cold
M4,2011-11-07T09:00:00Z,11.48,84.4,12.48,mild
M6,2008-03-12T22:00:00Z,9.1,77.0,11.1,cold
M6,2013-09-12T15:00:00Z,14.0,73.0,15.5,warm
M2,2015-07-01T07:00:00Z,15.95,81.6,14.25,warm
M3,2010-11-14T09:00:00Z,9.7,58.0,11.7,mild
M1,2001-09-03T11:00:00Z,15.3,90.8,15.9,warm
M3,2008-04-01T20:00:00Z,11.7,94.0,10.5,cold
M5,2009-06-01T12:00:00Z,13.5,89.0,13.0,mild
Belmullet-AMETS,2011-08-01T17:00:00Z,13.97,79.9,14.47,warm
M5,2009-08-27T09:00:00Z,15.5,81.0,16.0,warm
M5,2013-09-22T08:00:00Z,15.82,94.9,14.8,warm
M5,2011-11-12T21:00:00Z,14.1,88.0,13.2,mild
M4-Archive,2005-10-22T04:00:00Z,11.3,86.0,13.5,mild
M1,2006-01-23T04:00:00Z,10.0,87.0,10.7,cold
M6,2009-06-16T04:00:00Z,13.3,96.0,13.7,mild
M6,2010-09-11T09:00:00Z,15.2,74.0,15.9,warm
M4-Archive,2004-08-11T22:00:00Z,16.3,96.0,15.9,warm
